refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
Q302	unknown	BC107	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R305	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C302	unknown	100pF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R306	unknown	12k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U306	DIP14	unknown	unknown	unknown	unknown	unknown	unknown	http://www.semiconductors.philips.com/acrobat/datasheets/HEF4093B_CNV_3.pdf	unknown	unknown	
002	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
122	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
121	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
120	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
117	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
116	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
119	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
118	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
115	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
114	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
113	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
107	unknown	31-BIT SHIFT REGISTER	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
108b	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
108a	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
110	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
109	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
112	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
105	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
103	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
106	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
104	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
102	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
101	unknown	500 kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
001b	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
001a	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
